"Player","Team","Pos","Pos2","Opp","Tipoff","Salary","Projection","SE","DvP","DvP2","FantasyPros","FantasyFuel","numberFire","RotoGrinders","Rotowire","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation"
"Vince Carter","MEM","SF","","@NOR","Tue 8:00PM",3800,19,2.27,43.1,NA,17.3,NA,17.9,20.67,22.7,16.75,18.67,"V. Carter",8.89,11.78,29.56,208.5,115,2,""
"DeMarre Carroll","TOR","SF","","CHI","Tue 7:00PM",3800,18.72,2.68,44.2,NA,20.4,NA,20.5,15.18,16.9,22.15,17.17,"D. Carroll",4.86,10.32,20.04,200,-275,-6.5,""
"Matt Barnes","GSW","SF","PF","@DAL","Tue 8:30PM",4300,18.59,2.52,40.5,43.3,19,NA,19.5,22.46,14.9,18.625,17.08,"M. Barnes",8.53,13.93,30.99,207,-205,-5,"3in4-B2B"
"Zaza Pachulia","GSW","C","","@DAL","Tue 8:30PM",4100,18.2,2.7,49.3,NA,17.6,NA,20.2,16.87,14,21.7,18.84,"Z. Pachulia",5.74,11.13,22.61,207,-205,-5,"3in4-B2B"
"Patrick Mills","SAS","PG","","@MIN","Tue 9:30PM",4700,18.19,2.78,50.7,NA,19.3,NA,19.3,21.66,NA,15.525,15.15,"P. Mills",9.1,12.56,30.76,205.5,-210,-5,"3in4"
"Solomon Hill","NOR","SF","","MEM","Tue 8:00PM",4200,18.12,1.92,41.4,NA,17.8,NA,16.6,21,18.8,15.575,18.96,"S. Hill",6.51,14.49,27.51,208.5,-135,-2,""
"Matthew Dellavedova","MIL","PG","SG","@POR","Tue 10:00PM",3700,18.06,1.58,51.4,42.4,19.3,NA,18,19.42,18.5,18.025,15.09,"M. Dellavedova",6.02,13.4,25.44,212,170,5,""
"Danny Green","SAS","SG","","@MIN","Tue 9:30PM",3800,18,1.14,42.3,NA,18.9,NA,18.5,18.6,16.5,18.9,16.59,"D. Green",5.77,12.83,24.37,205.5,-210,-5,"3in4"
"Allen Crabbe","POR","SG","SF","MIL","Tue 10:00PM",3900,17.99,1.2,43.7,46.9,18.4,NA,19,19.13,18.2,17.25,15.97,"A. Crabbe",8.23,10.9,27.36,212,-195,-5,"3in4"
"Wayne Ellington","MIA","SF","","PHO","Tue 7:30PM",4200,17.96,1.89,43,NA,16.8,NA,18.2,15.4,17.6,20.95,18.84,"W. Ellington",4.77,10.63,20.17,214,-1000,-12.5,""
