"Player","Team","Pos","Pos2","Opp","Tipoff","Salary","Projection","SE","FantasyPros","numberFire","RotoGrinders","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation","PTS","Three","Two","FT","TRB","AST","BLK","STL","TOV","Actual","Value","actValue"
"Alex Len",NA,"C","",NA,NA,NA,18.42,3.91,NA,17.8,19.32,23,13.56,"A. Len",7.53,11.79,26.85,228,180,5,NA,8,0,3,2,2,1,0,0,0,12,NA,NA
"Kosta Koufos",NA,"C","",NA,NA,NA,18.36,2.04,NA,21.4,17.62,17.325,17.1,"K. Koufos",7.4,10.22,25.02,192.5,405,9.5,NA,12,0,5,2,10,1,1,0,1,29,NA,NA
"Solomon Hill","NOR","SF","","@LAL","Sun 9:30PM",3100,18.18,1.9,18.5,18.1,20.55,15.25,18.5,"S. Hill",6.17,14.38,26.71,217.5,-245,-6,"",5,1,1,0,6,3,0,0,1,17,5.86451612903226,5.48387096774194
"E'Twaun Moore","NOR","SG","","@LAL","Sun 9:30PM",3800,17.92,2.08,18.4,17.9,20.97,15.25,17.08,"E. Moore",8.39,12.58,29.36,217.5,-245,-6,"",13,2,3,1,1,2,1,1,0,22.25,4.71578947368421,5.85526315789474
"Andre Roberson","OKC","SF","","@DAL","Sun 8:30PM",4000,17.55,1.94,19.2,18.6,18.55,14.4,17.01,"A. Roberson",8.35,10.2,26.9,207,-105,1,"3in4",2,0,1,0,8,2,0,0,2,14,4.3875,3.5
"Tyler Zeller",NA,NA,NA,NA,NA,NA,16.8,0,NA,16.8,NA,NA,NA,"T. Zeller",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5,0,0,0,3,4.75,NA,NA
"Alex Abrines",NA,"SG","",NA,NA,NA,16.78,2.58,NA,19.3,18.7,14.425,14.7,"A. Abrines",6.17,12.53,24.87,207,-105,1,NA,0,0,0,0,0,2,0,0,0,3,NA,NA
"D.J. Augustin",NA,"PG","SG",NA,NA,NA,16.73,1.73,NA,16,14.64,17.95,18.34,"D. Augustin",5.86,8.78,20.5,217,0,11,NA,8,2,1,0,1,4,0,0,0,16.25,NA,NA
"Alec Burks",NA,"PG","SG",NA,NA,NA,16.71,3.34,NA,21.2,17.32,13.975,14.36,"A. Burks",6.24,11.08,23.56,192.5,-500,-9.5,NA,7,0,3,1,3,1,0,2,3,14.75,NA,NA
"Doug McDermott","OKC","SG","SF","@DAL","Sun 8:30PM",3700,16.67,2.78,15.1,21.2,17.48,14.65,14.9,"D. McDermott",10.14,7.34,27.62,207,-105,1,"3in4",6,0,3,0,4,2,0,0,0,14,4.50540540540541,3.78378378378378
"Joe Ingles",NA,"SG","SF",NA,NA,NA,16.47,3.27,NA,14.8,21.32,14.325,15.42,"J. Ingles",9.81,11.51,31.13,192.5,-500,-9.5,NA,6,2,0,0,1,1,0,2,2,12.75,NA,NA
"Jonas Jerebko",NA,"PF","",NA,NA,NA,16.45,2.78,NA,19,14.38,13.725,18.68,"J. Jerebko",6.76,7.62,21.14,228,-210,-5,NA,1,0,0,1,5,1,0,0,0,8.75,NA,NA
"Anthony Tolliver",NA,"PF","",NA,NA,NA,15.87,2.02,NA,17.5,13.07,15.725,17.18,"A. Tolliver",5.62,7.45,18.69,192.5,405,9.5,NA,7,1,2,0,3,2,1,1,0,18.25,NA,NA
"Rodney Stuckey",NA,"PG","",NA,NA,NA,15.78,1.01,NA,16.1,16.59,NA,14.65,"R. Stuckey",9.95,6.64,26.54,209.5,130,3,NA,3,1,0,0,2,3,0,2,2,13.5,NA,NA
"Tyler Ulis",NA,"PG","",NA,NA,NA,15.75,5.08,NA,20.6,19.62,10.675,12.11,"T. Ulis",8.24,11.38,27.86,228,180,5,NA,20,1,7,3,2,5,0,1,0,32.5,NA,NA
"David West",NA,"PF","",NA,NA,NA,15.54,0.85,NA,15.9,16.14,NA,14.57,"D. West",7.42,8.72,23.56,219,-700,-10.5,NA,7,0,3,1,1,0,0,0,1,7.75,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arron Afflalo",NA,"SF","",NA,NA,NA,15.39,2.68,NA,15.3,14.49,19.075,12.71,"A. Afflalo",7.82,6.67,22.31,192.5,405,9.5,NA,17,1,5,4,4,3,0,0,0,27,NA,NA
"Lance Thomas",NA,"PF","",NA,NA,NA,15.01,3,NA,11.2,17.54,14.05,17.27,"L. Thomas",7.89,9.65,25.43,219,535,10.5,NA,0,0,0,0,7,2,0,0,0,11.75,NA,NA
