"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Mitch Haniger","OF","SEA","@HOU","R",2,2000,8.86,2.15,0,5.57,9.77,11.9,8.9,7.51,9.5,0,134,0.76,8.5,1,"M. Haniger",3,4.43,1.5
"Wil Myers","1B","SDP","@LAD","R",2,3000,8.77,1.8,0,11.09,7.48,10.1,9.8,6.51,7.66,0,304,2.34,6.5,1.04,"W. Myers",3.2,2.92333333333333,1.06666666666667
"Marcus Semien","SS","OAK","LAA","R",5,2500,8.69,0.91,0,9.95,8.73,8.3,9,7.2,8.96,0,101,0.120000000000001,8,1.03,"M. Semien",6,3.476,2.4
"Trevor Plouffe","3B","OAK","LAA","R",7,2400,8.67,1.2,0,10.73,8.09,8.2,8.8,7.17,9.03,0,101,0.120000000000001,8,1.03,"T. Plouffe",6,3.6125,2.5
"Lucas Duda","1B","NYM","ATL","L",7,2500,8.66,1.31,0,10.39,8.79,NA,7.1,7.68,9.35,0,-176,-1.06,7,1.06,"L. Duda",19.5,3.464,7.8
"Freddy Galvis","SS","PHI","@CIN","S",8,2600,8.64,0.86,0,10.19,8.23,8.7,8.8,7.64,8.28,0,105,0.199999999999999,8.5,0.98,"F. Galvis",27.9,3.32307692307692,10.7307692307692
"Matt Wieters","C","WAS","MIA","S",8,2700,8.64,0.92,0,10,8.67,NA,8.9,7.6,8.04,0,-197,-1.46,8,1,"M. Wieters",6.2,3.2,2.2962962962963
"Ender Inciarte","OF","ATL","@NYM","L",1,2900,8.64,1.55,0,10.97,8.38,NA,8.9,6.66,8.29,0,166,1.06,7,1.06,"E. Inciarte",0,2.97931034482759,0
"Cameron Rupp","C","PHI","@CIN","R",7,2400,8.63,1.33,0,10.56,8.84,7.5,9.1,6.79,9.02,0,105,0.199999999999999,8.5,0.98,"C. Rupp",0,3.59583333333333,0
"Nomar Mazara","OF","TEX","CLE","L",7,2600,8.61,1.86,0,10.02,7.94,10.3,6.8,6.22,10.35,0,105,0.18,7.5,0.94,"N. Mazara",12.2,3.31153846153846,4.69230769230769
