"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Francisco Rodriguez",NA,NA,NA,NA,NA,NA,2.2,0,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,"F. Rodriguez"
"Nate Jones",NA,NA,NA,NA,NA,NA,2.1,0,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexander Colome",NA,NA,NA,NA,NA,NA,2.1,0,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Clippard",NA,NA,NA,NA,NA,NA,2.1,0,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grant Dayton",NA,NA,NA,NA,NA,NA,2.1,0,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Madson",NA,NA,NA,NA,NA,NA,2.1,0,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,"R. Madson"
"Fernando Rodney",NA,NA,NA,NA,NA,NA,2.1,0,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,"F. Rodney"
"Justin Wilson",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Warren",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Buchter",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shane Greene",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameron Bedrosian",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Gregerson",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam Dyson",NA,NA,NA,NA,NA,NA,1.95,0.07,NA,NA,NA,1.9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"S. Dyson"
"Brandon Maurer",NA,NA,NA,NA,NA,NA,1.95,0.07,NA,NA,NA,2,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,"B. Maurer"
"Brad Peacock",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jhan Marinez",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hector Rondon",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J.C. Ramirez",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevin Siegrist",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bruce Rondon",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Harris",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C.J. Edwards",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Knebel",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
