"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Seung-Hwan Oh",NA,NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew Szczur",NA,NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brad Brach",NA,NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Felipe Rivero",NA,NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shawn Kelley",NA,NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark Melancon",NA,NA,NA,NA,NA,NA,NA,1.4,0.28,NA,NA,NA,NA,1.2,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,"M. Melancon"
"Christian Colon",NA,NA,NA,NA,NA,NA,NA,1.35,2.25,NA,NA,3.94,NA,0.1,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA
"Kelvin Herrera",NA,NA,NA,NA,NA,NA,NA,1.35,0.07,NA,NA,NA,NA,1.3,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,"K. Herrera"
"Adam Ottavino",NA,NA,NA,NA,NA,NA,NA,1.35,0.49,NA,NA,NA,NA,1,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,"A. Ottavino"
"Eric Fryer",NA,NA,NA,NA,NA,NA,NA,1.33,2.3,NA,NA,3.98,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1.02,NA
"Raisel Iglesias",NA,NA,NA,NA,NA,NA,NA,1.3,0.14,NA,NA,NA,NA,1.4,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,"R. Iglesias"
"Hector Neris",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A.J. Cole",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C.J. Edwards",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Addison Reed",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryan Mitchell",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexander Colome",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hector Rondon",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarred Cosart",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juan Nicasio",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nate Jones",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Phelps",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Bush",NA,NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Watson",NA,NA,NA,NA,NA,NA,NA,1.3,0.28,NA,NA,NA,NA,1.1,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,"T. Watson"
"Tommy La Stella",NA,NA,NA,NA,NA,NA,NA,1.28,1.32,NA,NA,2.64,NA,1.2,NA,NA,NA,0,NA,NA,NA,NA,NA,0.96,NA
"A.J. Ramos",NA,NA,NA,NA,NA,NA,NA,1.25,0.07,NA,NA,NA,NA,1.3,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,"A. Ramos"
"Ryan Goins",NA,NA,NA,NA,NA,NA,NA,1.24,1.51,NA,NA,2.93,NA,0.8,NA,NA,NA,0,NA,NA,NA,NA,NA,1.04,NA
"Daniel Nava",NA,NA,NA,NA,NA,NA,NA,1.21,2.1,NA,NA,3.64,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA
"Matt Kemp",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ty Blach",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameron Bedrosian",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Lorenzen",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Knebel",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Buchter",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Maurer",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,"B. Maurer"
"Kevin Siegrist",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Clippard",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason Grilli",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trevor Williams",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Warren",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Urena",NA,NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jim Johnson",NA,NA,NA,NA,NA,NA,NA,1.2,0.14,NA,NA,NA,NA,1.1,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,"J. Johnson"
"Fernando Rodney",NA,NA,NA,NA,NA,NA,NA,1.15,0.07,NA,NA,NA,NA,1.1,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,"F. Rodney"
"Neftali Feliz",NA,NA,NA,NA,NA,NA,NA,1.15,0.21,NA,NA,NA,NA,1,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,"N. Feliz"
"Jesus Aguilar",NA,NA,NA,NA,NA,NA,NA,1.12,1.14,NA,NA,2.27,NA,1.1,NA,NA,NA,0,NA,NA,NA,NA,NA,0.96,NA
"Keone Kela",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Rogers",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sean Doolittle",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liam Hendriks",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Harris",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlos Torres",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Devenski",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joakim Soria",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Biagini",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grant Dayton",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blake Treinen",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darren O'Day",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koji Uehara",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brett Cecil",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pedro Strop",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Gregerson",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arodys Vizcaino",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Pressly",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brad Peacock",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koda Glover",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,"K. Glover"
"Michael Feliz",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Stephenson",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J.C. Ramirez",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Wilson",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sammy Solis",NA,NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Francisco Rodriguez",NA,NA,NA,NA,NA,NA,NA,1.1,0.14,NA,NA,NA,NA,1,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,"F. Rodriguez"
"Carlos Perez",NA,NA,NA,NA,NA,NA,NA,1.04,0.81,NA,NA,1.51,NA,0.1,NA,NA,NA,1.5,NA,NA,NA,NA,NA,1.05,NA
"Arismendy Alcantara",NA,NA,NA,NA,NA,NA,NA,1.01,1.2,NA,NA,2.33,NA,0.7,NA,NA,NA,0,NA,NA,NA,NA,NA,1.02,NA
