"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Brandon Belt","1B","","SFG","@SDP","L",2,3800,8.21,0.96,0,NA,9.65,7.77,8.9,NA,8.2,6.55,8.04,8.35,0,-155,-0.84,7.5,1.05,"B. Belt"
"Dustin Pedroia","2B","","BOS","@DET","R",1,3600,8.2,0.99,0,NA,9.45,7.62,7.8,NA,9.1,6.82,9.05,7.57,0,-112,-0.12,7.5,0.99,"D. Pedroia"
"Gregory Polanco","OF","","PIT","ATL","L",4,4000,8.19,0.79,0,NA,9.53,7.57,9,NA,8.3,7.62,7.75,7.55,0,-135,-0.56,8,1.04,"G. Polanco"
"Robinson Cano","2B","","SEA","@LAA","L",3,3800,8.17,1.09,0,NA,10.13,7.02,8.6,NA,8.1,7.99,8.45,6.89,0,104,0.18,8.5,1.05,"R. Cano"
"Ryon Healy","1B","3B","OAK","@TEX","R",5,3700,8.17,1.07,0,NA,9.81,7.25,7.2,NA,9.2,7.07,8.39,8.29,0,-115,-0.24,9.5,0.94,"R. Healy"
"Dustin Pedroia","2B","","BOS","@DET","R",1,3600,8.14,1.05,0,NA,9.45,7.62,7.8,NA,9.1,6.82,9.05,7.16,0,-112,-0.12,7.5,0.99,"D. Pedroia"
"Jake Lamb","3B","","ARI","CLE","L",4,3600,8.11,0.86,0,NA,8.93,7.21,7.4,NA,8.8,7.05,8.96,8.45,0,176,1.6,9.5,0.96,"J. Lamb"
"Hunter Pence","OF","","SFG","@SDP","R",3,3800,8.1,0.63,0,NA,9.03,7.82,8.2,NA,8.7,7.49,8.2,7.27,0,-155,-0.84,7.5,1.05,"H. Pence"
"Rougned Odor","2B","","TEX","OAK","L",5,4200,8.06,1.36,0,NA,10.8,7.27,6.5,NA,8.1,7.38,8.37,7.98,0,105,0.24,9.5,0.94,"R. Odor"
"Yasmani Grandal","C","","LAD","@COL","S",6,4300,8.06,0.68,0,NA,9,8.04,7.5,NA,8.5,7.1,8.2,NA,0,-126,-0.5,10,0.83,"Y. Grandal"
"Todd Frazier","1B","3B","CHW","MIN","R",4,4200,8.05,0.77,0,NA,9.58,7.41,7.6,NA,8.1,7.7,8.44,7.5,0,-128,-0.44,8,0.98,"T. Frazier"
"Ian Kinsler","2B","","DET","BOS","R",1,3900,8.02,0.75,0,NA,9.45,7.18,7.8,NA,8.2,7.5,7.67,8.35,0,102,0.12,7.5,0.99,"I. Kinsler"
"Evan Longoria","3B","","TBR","TOR","R",3,3900,8.02,1.01,0,NA,10.03,7.06,8.4,NA,8.2,7.24,7.55,7.66,0,111,0.3,8,1.04,"E. Longoria"
"Mike Napoli","1B","","TEX","OAK","R",4,3800,8.01,0.65,0,NA,8.96,7.7,7.9,NA,8.8,7.33,7.99,7.37,0,105,0.24,9.5,0.94,"M. Napoli"
"KikÃÂ© Hernandez",NA,NA,NA,NA,NA,NA,NA,8.01,0,NA,NA,NA,8.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ian Kinsler","2B","","DET","BOS","R",1,3900,8,0.74,0,NA,9.45,7.18,7.8,NA,8.2,7.5,7.67,8.17,0,102,0.12,7.5,0.99,"I. Kinsler"
"Evan Longoria","3B","","TBR","TOR","R",3,3900,7.98,1.03,0,NA,10.03,7.06,8.4,NA,8.2,7.24,7.55,7.35,0,111,0.3,8,1.04,"E. Longoria"
"Jose Abreu","1B","","CHW","MIN","R",3,4000,7.97,1.09,0,NA,10.35,7.8,7.1,NA,8,7.41,7.79,7.35,0,-128,-0.44,8,0.98,"J. Abreu"
"Marcus Semien","3B","SS","OAK","@TEX","R",2,3700,7.96,1.36,0,NA,8.66,7.79,6.8,8.14,10.3,5.63,7.9,8.44,0,-115,-0.24,9.5,0.94,"M. Semien"
"Wil Myers","1B","OF","SDP","SFG","R",3,4000,7.91,0.97,0,NA,9.47,7.38,7.3,NA,8.3,6.45,8.42,8.04,0,145,0.84,7.5,1.05,"W. Myers"
"Joc Pederson","OF","","LAD","@COL","L",8,4700,7.91,1.1,0,NA,8.88,7.86,7.5,NA,9.4,6.29,7.55,NA,0,-126,-0.5,10,0.83,"J. Pederson"
"Melky Cabrera","OF","","CHW","MIN","S",1,3800,7.9,0.99,0,NA,9.32,7.38,6.9,NA,9.3,7.24,7.51,7.66,0,-128,-0.44,8,0.98,"M. Cabrera"
"Justin Verlander",NA,NA,NA,NA,NA,NA,NA,7.88,13.65,NA,NA,0,NA,0,NA,NA,NA,NA,23.65,NA,NA,NA,NA,1.01,NA
"Jonathan Lucroy","C","","TEX","OAK","R",6,3900,7.87,0.72,0,NA,8.82,7.08,7.3,NA,8.2,7.35,8.47,NA,0,105,0.24,9.5,0.94,"J. Lucroy"
"Jose Reyes","3B","SS","NYM","MIA","S",1,3700,7.87,0.93,0,NA,9.88,7.69,7.5,NA,7.7,7.1,7.98,7.26,0,-166,-0.92,7,1.06,"J. Reyes"
"Albert Pujols","1B","","LAA","SEA","R",4,3700,7.87,0.99,0,NA,9.92,7.53,8.1,NA,7.9,6.83,7.48,7.33,0,-114,-0.18,8.5,1.05,"A. Pujols"
"C.J. Cron","1B","","LAA","SEA","R",5,3200,7.87,1.1,0,NA,9.48,NA,8,NA,8.3,6.23,8.06,7.16,0,-114,-0.18,8.5,1.05,"C. Cron"
"Chris Young","OF","","BOS","@DET","R",4,2700,7.85,0.83,0,NA,8.9,7.43,8.2,NA,8.2,6.62,8.55,7.04,0,-112,-0.12,7.5,0.99,"C. Young"
"Kyle Seager","3B","","SEA","@LAA","L",5,3500,7.82,1.03,0,NA,9.36,6.64,8.8,NA,7.7,7.39,8.18,6.67,0,104,0.18,8.5,1.05,"K. Seager"
"Miguel Sano","3B","OF","MIN","@CHW","R",4,3700,7.81,0.89,0,NA,9.35,7.59,7.2,NA,7.3,7.02,8.78,7.44,0,118,0.440000000000001,8,0.98,"M. Sano"
"Aaron Judge, NYYDL15",NA,NA,NA,NA,NA,NA,NA,7.8,0,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
