"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Curtis Granderson","OF","","NYM","ATL","L",4,3700,7.68,1,0,NA,9.42,7.28,NA,7.6,7.15,6.95,0,-176,-1.06,7,1.06,"C. Granderson",5,2.07567567567568,1.35135135135135
"Adrian Gonzalez","1B","","LAD","SDP","L",4,3800,7.67,0.73,0,NA,8.96,7.31,7.1,7.8,6.98,7.9,0,-344,-2.34,6.5,1.04,"A. Gonzalez",13,2.01842105263158,3.42105263157895
"Jose Reyes","3B","SS","NYM","ATL","S",1,4000,7.61,1.37,0,NA,10.02,7.19,NA,7.2,6.55,7.1,0,-176,-1.06,7,1.06,"J. Reyes",4,1.9025,1
"Kendrys Morales","1B","","TOR","@BAL","S",4,4100,7.61,1.33,0,NA,9.58,7.73,6.2,7.9,6.02,8.22,0,123,0.559999999999999,8.5,0.97,"K. Morales",4,1.85609756097561,0.975609756097561
"Alex Gordon","OF","","KCR","@MIN","L",1,3500,7.58,0.93,0,NA,8.94,7.4,7.3,8.3,6.26,7.29,0,-105,0.0999999999999996,8,0.99,"A. Gordon",3,2.16571428571429,0.857142857142857
"Jose Abreu","1B","","CHW","DET","R",4,4000,7.55,1.35,0,NA,9.83,7.4,7.3,8,5.7,7.06,0,114,0.32,7,0.98,"J. Abreu",NA,1.8875,NA
"Jayson Werth","OF","","WAS","MIA","R",6,3600,7.54,0.73,0,NA,8.76,7.51,NA,6.9,7.51,7.04,0,-197,-1.46,8,1,"J. Werth",0,2.09444444444444,0
"Andrew Benintendi","OF","","BOS","PIT","L",2,3700,7.54,1.22,0,NA,7.79,9.28,NA,6,6.87,7.75,0,-151,-0.880000000000001,8.5,0.95,"A. Benintendi",18,2.03783783783784,4.86486486486486
"Logan Forsythe","2B","","LAD","SDP","R",5,3600,7.53,0.74,0,NA,8.79,6.96,6.7,7.6,7.84,7.31,0,-344,-2.34,6.5,1.04,"L. Forsythe",11,2.09166666666667,3.05555555555556
"Ryon Healy","1B","3B","OAK","LAA","R",3,3300,7.53,0.85,0,NA,8.98,6.97,7.5,7.6,6.44,7.69,0,101,0.120000000000001,8,1.03,"R. Healy",0,2.28181818181818,0
"Salvador Perez","C","","KCR","@MIN","R",5,3300,7.53,1.28,0,NA,7.36,7.31,9.9,7.7,6.2,6.68,0,-105,0.0999999999999996,8,0.99,"S. Perez",3,2.28181818181818,0.909090909090909
"Neil Walker","2B","","NYM","ATL","S",5,3600,7.52,1.03,0,NA,9.3,7.03,NA,7.5,6.72,7.04,0,-176,-1.06,7,1.06,"N. Walker",4,2.08888888888889,1.11111111111111
"Christian Yelich","OF","","MIA","@WAS","L",3,4200,7.52,1.34,0,NA,NA,7.7,NA,9,5.74,7.63,0,183,1.46,8,NA,"C. Yelich",0,1.79047619047619,0
"Todd Frazier","1B","3B","CHW","DET","R",5,4100,7.52,1.08,0,NA,8.94,6.95,7.9,7.8,5.72,7.8,0,114,0.32,7,0.98,"T. Frazier",NA,1.83414634146341,NA
"Tommy Joseph","1B","","PHI","@CIN","R",6,3700,7.51,1.01,0,NA,8.22,8.05,6.3,7.8,6.18,8.52,0,105,0.199999999999999,8.5,0.98,"T. Joseph",0,2.02972972972973,0
